Breed,Sterilized,Dewormed,Vaccinated,Health Status,Fur Length,Maturity Size,Gender,Type,Adopted,Age Bins,Videos,Photos,AdoptionSpeed,Primary Color,Secondary Color,Tertiary Color
Domestic Short Hair,Yes,Yes,Yes,Healthy,Small,Medium,Male,Cat,Yes,"[60,255]",0,7,3,Golden,White,
Burmese,No,Yes,No,Healthy,Medium,Medium,Female,Cat,Yes,"[0,2]",0,4,2,Black,,
Poodle,Yes,Yes,Yes,Healthy,Medium,Small,Male,Dog,Yes,"[24,60]",0,5,2,Cream,,
Tabby,No,Yes,No,Healthy,Medium,Small,Female,Cat,Yes,"[3,6]",0,3,2,Black,Brown,
Mixed Breed,Not Sure,No,No,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,4,3,Black,Brown,Golden
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Male,Cat,Yes,"[0,2]",0,1,2,White,,
Siamese,No,Yes,No,Healthy,Small,Medium,Female,Cat,Yes,"[24,60]",0,8,3,Brown,Cream,
Domestic Short Hair,No,Yes,No,Healthy,Medium,Medium,Female,Cat,No,"[6,12]",0,1,4,Black,White,
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Mixed,Cat,Yes,"[0,2]",0,3,2,Brown,Gray,White
Mixed Breed,No,No,No,Healthy,Small,Medium,Female,Dog,No,"[3,6]",0,4,4,Black,Brown,Yellow
Mixed Breed,Not Sure,No,No,Healthy,Small,Small,Mixed,Dog,Yes,"[0,2]",0,2,3,Black,Brown,
Domestic Short Hair,No,Yes,Yes,Healthy,Small,Medium,Female,Cat,Yes,"[0,2]",0,8,3,Brown,,
Mixed Breed,No,No,No,Healthy,Small,Large,Male,Dog,Yes,"[3,6]",0,1,2,Cream,,
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",1,4,1,Cream,,
Mixed Breed,No,No,No,Healthy,Small,Medium,Mixed,Dog,Yes,"[0,2]",0,12,2,Black,Brown,
Domestic Short Hair,No,No,No,Healthy,Small,Small,Male,Cat,Yes,"[0,2]",0,1,2,Black,White,
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Medium,Female,Dog,No,"[24,60]",0,3,4,Cream,White,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Female,Dog,No,"[3,6]",0,2,4,Brown,,
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Female,Cat,Yes,"[0,2]",0,1,2,Brown,Gray,White
Domestic Long Hair,No,No,No,Healthy,Medium,Small,Mixed,Cat,Yes,"[0,2]",0,5,1,Black,Brown,White
Mixed Breed,No,Yes,Yes,Healthy,Small,Small,Female,Dog,Yes,"[0,2]",0,5,1,Black,Brown,
Siamese,No,No,No,Healthy,Medium,Medium,Male,Cat,Yes,"[6,12]",0,2,2,Golden,,
Siamese,No,Yes,Yes,Healthy,Small,Small,Female,Cat,Yes,"[3,6]",0,0,1,White,,
Mixed Breed,No,No,No,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,1,2,Black,Brown,
Labrador Retriever,Yes,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[3,6]",0,5,2,Cream,,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Female,Dog,No,"[3,6]",0,9,4,Black,,
Persian,No,Yes,No,Healthy,Long,Medium,Female,Cat,Yes,"[3,6]",0,4,1,White,,
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Large,Female,Dog,No,"[3,6]",0,14,4,Cream,,
Domestic Short Hair,No,Yes,Yes,Healthy,Small,Medium,Male,Cat,Yes,"[0,2]",0,3,1,Black,,
Mixed Breed,No,No,No,Healthy,Small,Medium,Female,Dog,No,"[3,6]",0,2,4,Black,,
Mixed Breed,No,No,No,Healthy,Small,Medium,Mixed,Dog,Yes,"[0,2]",0,20,1,Black,Brown,Cream
Black Labrador Retriever,No,Not Sure,Not Sure,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,3,3,Black,Brown,
Mixed Breed,No,No,No,Healthy,Medium,Large,Female,Dog,Yes,"[0,2]",0,1,3,Black,Brown,Yellow
Domestic Medium Hair,Not Sure,Yes,No,Healthy,Long,Medium,Female,Cat,No,"[12,24]",0,1,4,Brown,,
Mixed Breed,Yes,Not Sure,Not Sure,Healthy,Small,Medium,Male,Dog,No,"[6,12]",0,2,4,Black,Brown,
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[24,60]",0,5,2,White,,
Mixed Breed,No,No,No,Healthy,Medium,Medium,Mixed,Dog,No,"[3,6]",0,3,4,Brown,Yellow,White
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,Yes,"[3,6]",0,1,2,Black,,
Tabby,No,Yes,Yes,Healthy,Medium,Small,Male,Cat,Yes,"[3,6]",0,1,2,Black,Yellow,White
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Male,Cat,Yes,"[0,2]",0,9,1,Yellow,White,
Tabby,No,No,No,Healthy,Small,Small,Female,Cat,Yes,"[0,2]",0,2,1,Black,White,
Tabby,No,No,No,Healthy,Small,Medium,Male,Cat,No,"[3,6]",0,4,4,Black,Brown,Yellow
Mixed Breed,Not Sure,Not Sure,Not Sure,Healthy,Small,Large,Mixed,Dog,Yes,"[0,2]",0,3,1,Black,White,
Mixed Breed,No,No,No,Healthy,Small,Small,Mixed,Dog,Yes,"[0,2]",0,2,3,Black,Brown,White
Mixed Breed,No,No,No,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,1,2,White,,
Labrador Retriever,No,Yes,Not Sure,Healthy,Small,Large,Male,Dog,Yes,"[6,12]",0,5,2,Black,,
Domestic Short Hair,No,Yes,No,Minor Injury,Medium,Medium,Male,Cat,Yes,"[0,2]",0,4,3,Brown,White,
Mixed Breed,Not Sure,Not Sure,Not Sure,Healthy,Small,Medium,Female,Dog,No,"[3,6]",0,1,4,Black,Brown,
Domestic Short Hair,No,No,No,Minor Injury,Medium,Medium,Female,Cat,Yes,"[6,12]",0,1,3,Cream,White,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[3,6]",0,5,3,Black,Brown,
Labrador Retriever,No,Yes,Yes,Healthy,Medium,Large,Male,Dog,Yes,"[6,12]",0,4,3,Cream,,
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Mixed,Cat,Yes,"[0,2]",0,5,2,Black,Golden,White
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,1,1,Brown,White,
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[12,24]",0,1,3,White,,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Male,Dog,Yes,"[3,6]",0,2,3,Brown,,
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,Yes,"[3,6]",0,4,3,Black,Golden,
Siberian Husky,No,Yes,Yes,Healthy,Medium,Large,Mixed,Dog,Yes,"[3,6]",0,7,3,Black,Gray,White
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,No,"[12,24]",0,6,4,Black,Brown,
Mixed Breed,No,No,No,Healthy,Small,Medium,Mixed,Dog,Yes,"[0,2]",0,8,2,Black,Brown,Gray
Domestic Short Hair,No,No,No,Minor Injury,Small,Medium,Female,Cat,No,"[12,24]",0,5,4,Black,White,
Mixed Breed,No,Yes,Yes,Healthy,Small,Small,Mixed,Dog,Yes,"[0,2]",0,10,2,Brown,White,
Domestic Long Hair,No,Yes,Yes,Healthy,Long,Medium,Male,Cat,Yes,"[3,6]",0,5,2,Brown,,
Oriental Short Hair,No,Yes,No,Healthy,Medium,Medium,Female,Cat,No,"[6,12]",0,8,4,Yellow,,
Mixed Breed,No,Yes,Yes,Healthy,Small,Small,Female,Dog,No,"[0,2]",0,3,4,Black,Brown,White
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Male,Dog,Yes,"[0,2]",0,5,3,Brown,,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Male,Dog,Yes,"[6,12]",0,6,2,Black,White,
Shih Tzu,Not Sure,Not Sure,Not Sure,Healthy,Medium,Small,Male,Dog,Yes,"[12,24]",0,3,1,White,,
Mixed Breed,No,No,No,Healthy,Medium,Medium,Female,Dog,No,"[3,6]",0,1,4,Brown,Cream,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[3,6]",0,1,1,Brown,,
Domestic Long Hair,No,Yes,No,Healthy,Long,Large,Female,Cat,Yes,"[12,24]",0,3,2,Cream,Gray,
Persian,Not Sure,Not Sure,Not Sure,Healthy,Long,Medium,Female,Cat,Yes,"[6,12]",0,7,2,Black,White,
Tabby,No,No,No,Healthy,Small,Small,Mixed,Cat,Yes,"[0,2]",0,7,3,Black,Yellow,Gray
Bombay,No,Yes,Yes,Healthy,Small,Medium,Male,Cat,Yes,"[0,2]",0,5,2,Black,,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,1,3,Black,Brown,
Domestic Short Hair,No,No,No,Minor Injury,Small,Small,Male,Cat,Yes,"[3,6]",0,4,1,Brown,Cream,White
Domestic Short Hair,No,No,No,Healthy,Small,Small,Mixed,Cat,Yes,"[0,2]",0,5,1,Black,Golden,White
Mixed Breed,No,Yes,No,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,4,3,Black,White,
Domestic Medium Hair,No,No,No,Healthy,Medium,Medium,Female,Cat,Yes,"[6,12]",0,7,3,Black,Brown,White
Mixed Breed,No,No,Yes,Healthy,Small,Medium,Female,Dog,No,"[0,2]",0,6,4,Brown,White,
Mixed Breed,No,Yes,Yes,Healthy,Small,Large,Female,Dog,Yes,"[3,6]",0,3,3,Brown,,
Mixed Breed,No,No,No,Healthy,Small,Small,Male,Dog,Yes,"[3,6]",0,5,2,Brown,Cream,
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Small,Female,Dog,Yes,"[12,24]",0,4,2,Brown,White,
Domestic Short Hair,No,No,No,Healthy,Small,Small,Female,Cat,Yes,"[0,2]",0,4,3,Brown,Gray,White
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Male,Dog,Yes,"[3,6]",0,5,2,Black,Brown,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Mixed,Dog,Yes,"[0,2]",0,12,3,Black,Brown,
Mixed Breed,No,Not Sure,Not Sure,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,1,1,Black,Brown,
Mixed Breed,Not Sure,Not Sure,Not Sure,Healthy,Small,Medium,Female,Dog,No,"[3,6]",0,3,4,Golden,,
Domestic Medium Hair,No,No,No,Healthy,Medium,Medium,Male,Cat,Yes,"[0,2]",0,1,3,Black,Gray,
Mixed Breed,No,Yes,No,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,3,1,Brown,White,
Terrier,Not Sure,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,5,2,Cream,,
Mixed Breed,No,No,No,Healthy,Small,Small,Mixed,Dog,Yes,"[0,2]",0,3,3,Brown,Golden,
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,No,"[0,2]",0,2,4,Brown,White,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,7,1,Brown,White,
Terrier,No,Yes,Yes,Healthy,Medium,Small,Female,Dog,Yes,"[0,2]",0,4,2,Black,Brown,White
Mixed Breed,No,No,No,Healthy,Medium,Medium,Female,Dog,No,"[3,6]",0,4,4,Brown,,
Rottweiler,No,No,No,Healthy,Medium,Medium,Male,Dog,Yes,"[0,2]",0,2,1,Black,Brown,
Mixed Breed,No,No,No,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,2,2,White,,
Domestic Short Hair,No,Yes,No,Healthy,Small,Medium,Female,Cat,Yes,"[0,2]",0,15,2,Black,Yellow,White
Domestic Short Hair,No,Yes,Yes,Healthy,Small,Medium,Male,Cat,Yes,"[6,12]",0,4,1,Black,White,
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[3,6]",0,4,2,Brown,,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[3,6]",0,5,2,Black,White,
Siamese,No,No,No,Healthy,Medium,Medium,Male,Cat,Yes,"[0,2]",0,1,3,Cream,White,
German Shepherd Dog,No,Not Sure,Not Sure,Healthy,Medium,Medium,Female,Dog,Yes,"[3,6]",0,3,2,Black,Brown,
Black Labrador Retriever,No,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,4,2,Black,White,
Terrier,Yes,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[60,255]",0,3,3,Brown,Cream,
Mixed Breed,No,No,No,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,2,1,Brown,White,
Domestic Short Hair,Not Sure,Not Sure,Yes,Healthy,Small,Medium,Female,Cat,Yes,"[0,2]",0,3,2,Black,White,
Border Collie,Yes,Not Sure,Not Sure,Healthy,Long,Medium,Male,Dog,Yes,"[24,60]",0,3,1,Black,White,
Domestic Short Hair,No,Yes,No,Healthy,Small,Medium,Male,Cat,Yes,"[6,12]",0,5,1,Black,White,
Labrador Retriever,Not Sure,Yes,Not Sure,Healthy,Medium,Large,Male,Dog,Yes,"[0,2]",0,3,1,Black,,
Mixed Breed,Not Sure,Not Sure,Not Sure,Healthy,Medium,Medium,Mixed,Dog,No,"[12,24]",0,6,4,Brown,,
Golden Retriever,No,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[24,60]",0,2,0,Golden,,
Mixed Breed,No,Yes,No,Healthy,Small,Medium,Female,Dog,Yes,"[3,6]",0,1,3,Black,,
Siberian Husky,Yes,Yes,Yes,Healthy,Medium,Medium,Female,Dog,No,"[24,60]",0,4,4,Golden,Yellow,White
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[24,60]",0,1,1,Black,Cream,
Mixed Breed,No,Yes,No,Healthy,Small,Small,Female,Dog,No,"[0,2]",0,2,4,Black,Brown,Gray
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[3,6]",0,3,3,Black,Brown,
Schnauzer,No,Yes,Yes,Healthy,Small,Small,Male,Dog,No,"[12,24]",0,4,4,Brown,,
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Female,Cat,Yes,"[3,6]",0,3,2,Brown,Gray,
Domestic Short Hair,Not Sure,Not Sure,Not Sure,Healthy,Small,Medium,Male,Cat,No,"[6,12]",0,2,4,Brown,Gray,
Jack Russell Terrier,Yes,Yes,Yes,Healthy,Small,Small,Female,Dog,Yes,"[60,255]",0,3,2,Brown,White,
Domestic Short Hair,No,No,No,Healthy,Medium,Medium,Female,Cat,Yes,"[3,6]",0,11,3,Black,Golden,White
Domestic Short Hair,No,Yes,No,Healthy,Small,Medium,Male,Cat,Yes,"[0,2]",0,4,2,Golden,White,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Male,Dog,No,"[12,24]",0,3,4,Yellow,,
Domestic Medium Hair,Yes,Not Sure,Not Sure,Healthy,Medium,Medium,Male,Cat,No,"[3,6]",0,5,4,Black,White,
Maltese,Yes,Yes,Yes,Healthy,Long,Small,Male,Dog,Yes,"[60,255]",0,5,2,White,,
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Small,Female,Dog,No,"[24,60]",0,1,4,Black,Brown,
Mixed Breed,Yes,No,No,Healthy,Small,Small,Mixed,Dog,Yes,"[0,2]",1,2,0,Black,Brown,White
Mixed Breed,Not Sure,No,No,Healthy,Medium,Medium,Male,Dog,Yes,"[0,2]",0,1,3,Black,White,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Male,Dog,Yes,"[3,6]",0,5,3,Black,,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Male,Dog,No,"[24,60]",0,3,4,Brown,,
Domestic Short Hair,Yes,No,No,Healthy,Medium,Large,Female,Cat,No,"[12,24]",0,4,4,Black,Gray,White
Oriental Short Hair,Yes,Yes,Yes,Healthy,Small,Large,Male,Cat,No,"[60,255]",0,5,4,Gray,White,
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Male,Cat,Yes,"[0,2]",0,5,2,Black,White,
Labrador Retriever,Yes,Not Sure,Not Sure,Healthy,Medium,Large,Female,Dog,Yes,"[60,255]",0,2,2,Black,,
Persian,No,Yes,Yes,Healthy,Medium,Medium,Female,Cat,No,"[6,12]",0,5,4,Black,Gray,White
Domestic Medium Hair,No,Yes,Yes,Minor Injury,Small,Medium,Male,Cat,Yes,"[3,6]",0,9,3,Yellow,White,
Siamese,No,No,No,Healthy,Medium,Medium,Male,Cat,Yes,"[3,6]",0,4,1,Brown,Cream,
Beagle,Yes,Not Sure,Not Sure,Healthy,Small,Large,Male,Dog,Yes,"[60,255]",0,5,3,Black,Brown,White
Miniature Pinscher,No,Yes,Yes,Healthy,Small,Medium,Mixed,Dog,Yes,"[0,2]",0,13,2,Black,Golden,
Mixed Breed,Yes,Not Sure,Not Sure,Healthy,Medium,Medium,Female,Dog,No,"[0,2]",0,3,4,Black,White,
Mixed Breed,Not Sure,Not Sure,Not Sure,Healthy,Medium,Medium,Female,Dog,No,"[0,2]",0,1,4,Black,White,
Domestic Short Hair,No,No,No,Healthy,Small,Small,Mixed,Cat,Yes,"[3,6]",0,5,3,Black,Golden,Cream
Tuxedo,Not Sure,Yes,No,Healthy,Medium,Medium,Male,Cat,Yes,"[0,2]",0,1,1,Black,White,
Mixed Breed,No,No,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,1,1,Brown,Yellow,White
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Male,Dog,Yes,"[3,6]",0,4,2,Black,White,
Terrier,No,No,No,Healthy,Long,Large,Male,Cat,Yes,"[0,2]",0,3,0,Brown,White,
Mixed Breed,No,No,No,Healthy,Small,Medium,Mixed,Dog,Yes,"[0,2]",0,8,3,Black,Cream,White
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Female,Cat,Yes,"[0,2]",0,2,1,Brown,,
Domestic Short Hair,No,No,No,Healthy,Small,Small,Mixed,Cat,No,"[0,2]",0,5,4,Black,Golden,Gray
Miniature Pinscher,Yes,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[3,6]",0,11,3,Black,Brown,
Mixed Breed,No,No,No,Healthy,Medium,Medium,Male,Dog,Yes,"[0,2]",0,2,1,Brown,White,
Domestic Short Hair,Yes,Yes,Yes,Healthy,Small,Medium,Female,Cat,No,"[24,60]",0,9,4,Yellow,,
Domestic Short Hair,Yes,Yes,Yes,Healthy,Small,Medium,Mixed,Cat,Yes,"[24,60]",0,8,1,Black,Cream,White
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Mixed,Cat,Yes,"[0,2]",0,5,1,Brown,Golden,
Domestic Long Hair,No,Yes,No,Healthy,Medium,Medium,Female,Cat,Yes,"[3,6]",0,4,1,Brown,,
Tuxedo,Yes,Yes,Yes,Healthy,Small,Medium,Female,Cat,Yes,"[3,6]",0,6,3,Black,White,
Mixed Breed,Not Sure,Not Sure,Not Sure,Healthy,Small,Medium,Female,Dog,No,"[0,2]",0,1,4,Black,Brown,Cream
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Mixed,Cat,Yes,"[0,2]",0,5,3,Black,Golden,White
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Medium,Male,Dog,No,"[12,24]",0,1,4,Golden,Cream,
Domestic Short Hair,No,Not Sure,No,Healthy,Small,Medium,Male,Cat,Yes,"[0,2]",0,3,1,Black,White,
Mixed Breed,No,No,No,Healthy,Medium,Medium,Female,Dog,No,"[3,6]",0,3,4,Brown,,
Pointer,Yes,Yes,No,Healthy,Small,Medium,Female,Dog,No,"[6,12]",0,2,4,Black,Yellow,White
Doberman Pinscher,No,Not Sure,Not Sure,Healthy,Medium,Large,Male,Dog,Yes,"[3,6]",0,2,1,Black,Golden,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[3,6]",0,5,3,Brown,Cream,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Male,Dog,Yes,"[3,6]",0,1,3,Brown,,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[3,6]",1,8,2,Black,White,
Domestic Short Hair,Yes,Yes,No,Healthy,Small,Small,Female,Cat,No,"[24,60]",1,2,4,Black,Brown,Yellow
Domestic Short Hair,No,No,No,Healthy,Medium,Medium,Mixed,Cat,No,"[0,2]",0,5,4,Black,White,
Domestic Short Hair,No,Not Sure,Not Sure,Healthy,Small,Medium,Female,Cat,No,"[24,60]",0,1,4,Black,Yellow,White
Domestic Short Hair,No,Yes,No,Healthy,Small,Medium,Male,Cat,Yes,"[6,12]",0,7,3,Gray,White,
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Medium,Male,Dog,No,"[60,255]",0,3,4,Black,Cream,White
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Male,Dog,Yes,"[6,12]",0,5,3,Golden,Cream,
Tabby,No,Yes,Yes,Healthy,Small,Medium,Female,Cat,Yes,"[3,6]",0,5,1,White,,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[3,6]",0,3,2,Black,,
Domestic Long Hair,No,No,No,Healthy,Long,Large,Female,Cat,Yes,"[6,12]",0,3,1,Black,Gray,White
Mixed Breed,Not Sure,Not Sure,Not Sure,Healthy,Small,Small,Female,Dog,Yes,"[3,6]",0,3,2,Black,Brown,White
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[3,6]",0,22,2,Brown,Cream,White
Domestic Short Hair,No,No,No,Healthy,Small,Small,Female,Cat,Yes,"[3,6]",0,1,2,Brown,Yellow,White
Domestic Medium Hair,No,Yes,No,Healthy,Medium,Medium,Female,Cat,Yes,"[3,6]",0,16,3,Black,Gray,
Mixed Breed,Not Sure,Not Sure,Not Sure,Healthy,Small,Medium,Female,Dog,No,"[3,6]",0,2,4,Brown,Yellow,
Siamese,Not Sure,Not Sure,Not Sure,Healthy,Medium,Small,Male,Cat,Yes,"[0,2]",0,3,1,Brown,,
Domestic Medium Hair,No,No,No,Healthy,Medium,Medium,Female,Cat,No,"[6,12]",0,2,4,Brown,,
Mixed Breed,No,No,No,Serious Injury,Small,Medium,Female,Dog,No,"[24,60]",0,5,4,Brown,,
Domestic Short Hair,No,No,No,Healthy,Small,Small,Female,Cat,No,"[3,6]",0,3,4,Black,White,
Domestic Medium Hair,No,No,No,Healthy,Medium,Medium,Mixed,Cat,Yes,"[3,6]",0,3,1,Black,White,
Domestic Short Hair,Yes,Yes,Yes,Healthy,Small,Medium,Female,Cat,No,"[3,6]",0,4,4,Black,Yellow,White
Oriental Short Hair,No,No,No,Healthy,Small,Small,Mixed,Cat,Yes,"[0,2]",0,4,3,Black,Gray,White
Mixed Breed,Not Sure,Not Sure,Not Sure,Healthy,Medium,Medium,Male,Dog,No,"[24,60]",0,4,4,Black,Yellow,
Domestic Medium Hair,No,No,No,Healthy,Medium,Medium,Female,Cat,Yes,"[3,6]",0,3,2,Black,Brown,Yellow
Domestic Medium Hair,No,No,No,Minor Injury,Medium,Small,Male,Cat,Yes,"[0,2]",0,2,2,White,,
Domestic Medium Hair,No,No,No,Healthy,Medium,Small,Female,Cat,Yes,"[0,2]",0,1,3,Golden,White,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Female,Dog,No,"[3,6]",0,3,4,Black,White,
Domestic Long Hair,No,No,No,Healthy,Medium,Medium,Male,Cat,Yes,"[6,12]",0,2,1,Cream,,
Domestic Medium Hair,Yes,No,No,Healthy,Medium,Large,Male,Cat,Yes,"[6,12]",0,2,3,Golden,White,
Domestic Short Hair,No,No,No,Healthy,Medium,Medium,Mixed,Cat,Yes,"[0,2]",0,7,3,Gray,White,
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,7,2,Black,Brown,
Mixed Breed,No,No,No,Healthy,Medium,Medium,Male,Dog,Yes,"[0,2]",0,5,2,Black,Brown,White
Mixed Breed,Not Sure,Not Sure,No,Healthy,Small,Medium,Mixed,Dog,No,"[3,6]",0,3,4,Black,Brown,White
Domestic Medium Hair,Not Sure,No,No,Healthy,Medium,Small,Mixed,Cat,No,"[0,2]",0,3,4,White,,
Tabby,No,Yes,Yes,Healthy,Small,Small,Male,Cat,Yes,"[3,6]",0,1,1,Brown,,
Mixed Breed,No,No,No,Healthy,Medium,Medium,Male,Dog,No,"[0,2]",0,19,4,Black,Yellow,
Domestic Short Hair,No,Yes,No,Healthy,Small,Medium,Male,Cat,Yes,"[3,6]",0,1,2,White,,
Domestic Short Hair,Yes,Yes,No,Healthy,Small,Medium,Female,Cat,Yes,"[6,12]",0,1,3,Brown,Yellow,White
Mixed Breed,Not Sure,Yes,Yes,Healthy,Small,Medium,Male,Dog,No,"[12,24]",0,1,4,Black,Brown,Golden
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,3,1,Black,Brown,Golden
Mixed Breed,No,Not Sure,Not Sure,Healthy,Small,Medium,Female,Dog,Yes,"[3,6]",0,9,2,Black,White,
Domestic Short Hair,No,Yes,No,Healthy,Small,Medium,Male,Cat,Yes,"[0,2]",0,2,2,Black,Gray,
Mixed Breed,Yes,Yes,Yes,Healthy,Medium,Medium,Male,Dog,No,"[6,12]",0,1,4,Brown,,
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Mixed,Cat,Yes,"[0,2]",0,4,1,Black,Brown,White
Mixed Breed,Not Sure,Not Sure,Not Sure,Healthy,Small,Medium,Mixed,Dog,No,"[3,6]",0,8,4,Black,Gray,
Rottweiler,Yes,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[60,255]",0,2,3,Black,,
American Shorthair,No,No,No,Healthy,Medium,Small,Female,Cat,Yes,"[0,2]",0,0,1,Black,White,
Domestic Medium Hair,No,No,No,Healthy,Medium,Medium,Male,Cat,Yes,"[6,12]",0,6,2,Golden,White,
Mixed Breed,No,No,No,Healthy,Small,Medium,Mixed,Dog,Yes,"[0,2]",0,5,1,Black,Brown,White
Domestic Short Hair,Yes,Yes,No,Healthy,Small,Medium,Female,Cat,Yes,"[0,2]",0,1,2,Black,White,
Mixed Breed,No,Yes,No,Healthy,Medium,Medium,Female,Dog,No,"[12,24]",0,3,4,Golden,Yellow,
Mixed Breed,No,Yes,Yes,Healthy,Small,Small,Female,Dog,Yes,"[0,2]",0,2,2,Brown,White,
Poodle,Not Sure,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[60,255]",0,1,3,Brown,,
Domestic Short Hair,No,Yes,Yes,Healthy,Small,Small,Mixed,Cat,No,"[3,6]",0,3,4,Black,Yellow,White
Mixed Breed,Not Sure,Not Sure,Not Sure,Healthy,Small,Medium,Male,Dog,Yes,"[24,60]",0,4,3,Cream,White,
Domestic Long Hair,No,Yes,Yes,Healthy,Medium,Medium,Female,Cat,Yes,"[3,6]",0,1,3,Black,Yellow,White
German Shepherd Dog,No,No,No,Healthy,Medium,Large,Female,Dog,Yes,"[3,6]",0,2,2,Black,Gray,
Domestic Short Hair,No,No,No,Healthy,Medium,Small,Female,Cat,Yes,"[0,2]",0,10,1,Yellow,White,
Domestic Short Hair,No,Yes,Yes,Healthy,Small,Small,Female,Cat,Yes,"[0,2]",0,1,2,Black,Golden,
Mixed Breed,No,No,No,Healthy,Small,Medium,Mixed,Dog,Yes,"[0,2]",0,4,2,Black,,
